LON,LAT
16.02291818181818,41.94666363636364
15.9136090909091,41.9352727272727
15.8569454545455,41.9252818181818
15.7652727272727,41.9169454545455
15.6791,41.9158272727273
15.6,41.9236090909091
15.4972181818182,41.9091636363636
15.4555545454545,41.9063909090909
15.4047181818182,41.9038818181818
15.3730545454545,41.9055454545455
15.1623636363636,41.9244454545455
15.1419181818182,41.9280272727273
15.0991636363636,41.9372181818182
15.0627727272727,41.9527727272727
15.0259727272727,41.9848636363636
14.9963909090909,42.0044363636364
14.9397181818182,42.0158272727273
14.8940272727273,42.0205454545455
14.8312454545455,42.0427727272727
14.7621818181818,42.0747818181818
14.7547181818182,42.0777727272727
14.7365272727273,42.0879090909091
14.7216636363636,42.1040272727273
14.715,42.1419363636364
14.7162454545455,42.1680545454545
14.6613909090909,42.1891636363636
14.6288909090909,42.1988818181818
14.6047181818182,42.2049909090909
14.5658363636364,42.2188909090909
14.5041636363636,42.2613818181818
14.2,42.4825
14.1305545454545,42.5411090909091
14.075,42.6002727272727
14.0583363636364,42.6197181818182
14.0166636363636,42.67
15.5260363636364,43.8950363636364
15.5338909090909,43.8819454545455
15.5994454545455,43.8452727272727
15.6888909090909,43.7788818181818
15.7821545454545,43.7562454545455
15.9408363636364,43.6836090909091
15.9659,43.6318
15.9258272727273,43.6277363636364
15.9188181818182,43.5669363636364
15.9883363636364,43.5044363636364
16.0369454545455,43.4818
16.1027090909091,43.4758272727273
16.1702727272727,43.4919363636364
16.1905545454545,43.5116636363636
16.3102727272727,43.5430545454545
16.3540272727273,43.5508272727273
16.4305545454545,43.5456909090909
16.4692363636364,43.5335363636364
16.4991636363636,43.5030545454545
16.6188909090909,43.4488818181818
16.6377818181818,43.4411090909091
16.7363818181818,43.4161090909091
16.7641636363636,43.4113818181818
16.8136090909091,43.4069454545455
16.8380545454545,43.4052727272727
16.8608363636364,43.4052727272727
16.8816636363636,43.4036090909091
16.94,43.3647181818182
17.045,43.2725
17.0681909090909,43.2409727272727
17.1313818181818,43.1988818181818
17.1778454545455,43.1738818181818
